k,time,comp_time
0,0.0,1.3999999999736445e-05
1,0.1,1.3500000000110646e-05
2,0.2,8.79999999980896e-06
3,0.30000000000000004,8.19999999990273e-06
4,0.4,2.69999999957804e-06
5,0.5,8.399999999575414e-06
6,0.6000000000000001,7.999999999785956e-06
7,0.7000000000000001,2.8999999996948134e-06
8,0.8,8.100000000066387e-06
9,0.9,2.700000000022129e-06
10,1.0,8.100000000066387e-06
11,1.1,8.300000000183161e-06
12,1.2000000000000002,8.600000000136276e-06
13,1.3,2.700000000022129e-06
14,1.4000000000000001,8.19999999990273e-06
15,1.5,2.69999999957804e-06
16,1.6,8.399999999575414e-06
17,1.7000000000000002,8.80000000025305e-06
18,1.8,2.7999999998584713e-06
19,1.9000000000000001,8.19999999990273e-06
20,2.0,2.600000000185787e-06
21,2.1,7.899999999949614e-06
22,2.2,7.999999999785956e-06
23,2.3000000000000003,8.100000000066387e-06
24,2.4000000000000004,7.999999999785956e-06
25,2.5,2.7999999998584713e-06
26,2.6,8.300000000183161e-06
27,2.7,8.000000000230045e-06
28,2.8000000000000003,8.000000000230045e-06
29,2.9000000000000004,7.900000000393703e-06
30,3.0,2.7999999998584713e-06
31,3.1,7.999999999785956e-06
32,3.2,7.899999999949614e-06
33,3.3000000000000003,7.900000000393703e-06
34,3.4000000000000004,7.800000000113272e-06
35,3.5,2.599999999741698e-06
36,3.6,8.299999999739072e-06
37,3.7,8.000000000230045e-06
38,3.8000000000000003,7.899999999949614e-06
39,3.9000000000000004,8.099999999622298e-06
40,4.0,2.69999999957804e-06
41,4.1000000000000005,8.399999999575414e-06
42,4.2,2.700000000022129e-06
43,4.3,7.800000000113272e-06
44,4.4,8.100000000066387e-06
45,4.5,2.69999999957804e-06
46,4.6000000000000005,8.100000000066387e-06
47,4.7,2.700000000022129e-06
48,4.800000000000001,8.099999999622298e-06
49,4.9,2.700000000022129e-06
50,5.0,8.499999999855845e-06
51,5.1000000000000005,8.100000000066387e-06
52,5.2,2.700000000022129e-06
53,5.300000000000001,8.300000000183161e-06
54,5.4,3.100000000255676e-06
55,5.5,8.200000000346819e-06
56,5.6000000000000005,8.400000000463592e-06
57,5.7,2.700000000022129e-06
58,5.800000000000001,8.599999999692187e-06
59,5.9,2.700000000022129e-06
60,6.0,8.19999999990273e-06
61,6.1000000000000005,8.300000000183161e-06
62,6.2,2.599999999741698e-06
63,6.300000000000001,8.300000000183161e-06
64,6.4,2.69999999957804e-06
65,6.5,8.19999999990273e-06
66,6.6000000000000005,8.200000000346819e-06
67,6.7,2.700000000022129e-06
68,6.800000000000001,8.300000000183161e-06
69,6.9,2.9000000001389026e-06
70,7.0,8.100000000066387e-06
71,7.1000000000000005,8.000000000230045e-06
72,7.2,2.600000000185787e-06
73,7.300000000000001,7.999999999785956e-06
74,7.4,2.599999999741698e-06
75,7.5,8.100000000066387e-06
76,7.6000000000000005,8.000000000230045e-06
77,7.7,2.700000000022129e-06
78,7.800000000000001,8.100000000066387e-06
79,7.9,2.599999999741698e-06
80,8.0,8.100000000066387e-06
81,8.1,2.5999999992976086e-06
82,8.200000000000001,7.800000000113272e-06
83,8.3,2.7999999998584713e-06
84,8.4,8.000000000230045e-06
85,8.5,2.600000000185787e-06
86,8.6,8.000000000230045e-06
87,8.700000000000001,8.19999999990273e-06
88,8.8,2.700000000022129e-06
89,8.9,1.0299999999574538e-05
90,9.0,2.700000000022129e-06
91,9.1,8.000000000230045e-06
92,9.200000000000001,7.999999999785956e-06
93,9.3,2.700000000022129e-06
94,9.4,8.599999999692187e-06
95,9.5,2.700000000022129e-06
96,9.600000000000001,7.999999999785956e-06
97,9.700000000000001,2.700000000022129e-06
98,9.8,7.900000000393703e-06
99,9.9,2.700000000022129e-06
100,10.0,8.099999999622298e-06
101,10.100000000000001,7.800000000113272e-06
102,10.200000000000001,2.700000000022129e-06
103,10.3,7.69999999983284e-06
104,10.4,2.7999999998584713e-06
105,10.5,0.009417099999999845
106,10.600000000000001,0.0027339000000004
107,10.700000000000001,0.0026287000000002614
108,10.8,0.0027130999999998018
109,10.9,4.300000000068138e-06
0,0.0,1.1199999999877974e-05
1,0.1,8.80000000025305e-06
2,0.2,8.500000000299934e-06
3,0.30000000000000004,8.100000000066387e-06
4,0.4,2.7999999998584713e-06
5,0.5,8.300000000183161e-06
6,0.6000000000000001,8.100000000066387e-06
7,0.7000000000000001,2.700000000022129e-06
8,0.8,8.399999999575414e-06
9,0.9,2.7999999998584713e-06
10,1.0,8.300000000183161e-06
11,1.1,8.300000000183161e-06
12,1.2000000000000002,7.899999999949614e-06
13,1.3,2.700000000022129e-06
14,1.4000000000000001,7.900000000393703e-06
15,1.5,2.700000000022129e-06
16,1.6,8.299999999739072e-06
17,1.7000000000000002,8.100000000066387e-06
18,1.8,2.700000000022129e-06
19,1.9000000000000001,8.19999999990273e-06
20,2.0,2.700000000022129e-06
21,2.1,8.100000000066387e-06
22,2.2,8.299999999739072e-06
23,2.3000000000000003,8.19999999945864e-06
24,2.4000000000000004,8.19999999945864e-06
25,2.5,2.7999999998584713e-06
26,2.6,8.100000000066387e-06
27,2.7,8.099999999622298e-06
28,2.8000000000000003,8.400000000019503e-06
29,2.9000000000000004,8.400000000463592e-06
30,3.0,2.700000000022129e-06
31,3.1,8.000000000230045e-06
32,3.2,8.19999999990273e-06
33,3.3000000000000003,8.300000000183161e-06
34,3.4000000000000004,8.19999999990273e-06
35,3.5,2.9000000001389026e-06
36,3.6,8.19999999990273e-06
37,3.7,8.299999999739072e-06
38,3.8000000000000003,8.499999999855845e-06
39,3.9000000000000004,8.000000000230045e-06
40,4.0,2.69999999957804e-06
41,4.1000000000000005,8.100000000066387e-06
42,4.2,2.7999999998584713e-06
43,4.3,8.19999999990273e-06
44,4.4,8.200000000346819e-06
45,4.5,2.700000000022129e-06
46,4.6000000000000005,8.100000000066387e-06
47,4.7,2.69999999957804e-06
48,4.800000000000001,8.19999999990273e-06
49,4.9,2.7999999998584713e-06
50,5.0,8.000000000230045e-06
51,5.1000000000000005,7.999999999785956e-06
52,5.2,2.700000000022129e-06
53,5.300000000000001,8.299999999739072e-06
54,5.4,3.100000000255676e-06
55,5.5,8.599999999692187e-06
56,5.6000000000000005,9.999999999621423e-06
57,5.7,2.8999999996948134e-06
58,5.800000000000001,9.799999999948739e-06
59,5.9,4.200000000231796e-06
60,6.0,8.599999999692187e-06
61,6.1000000000000005,8.400000000019503e-06
62,6.2,2.9000000001389026e-06
63,6.300000000000001,8.19999999990273e-06
64,6.4,2.700000000022129e-06
65,6.5,8.100000000066387e-06
66,6.6000000000000005,8.399999999575414e-06
67,6.7,2.700000000022129e-06
68,6.800000000000001,8.499999999855845e-06
69,6.9,2.700000000022129e-06
70,7.0,8.19999999990273e-06
